bond_id,maturity_years,coupon,rich_cheap_bp
JGB000,1.346,0.005,-0.38
JGB001,2.577,0.009,-4.03
JGB002,2.952,0.011,5.03
JGB003,4.293,0.013,-5.05
JGB004,4.298,0.016,2.27
JGB005,4.328,0.015,5.21
JGB006,4.57,0.013,-6.4
JGB007,4.857,0.011,-1.21
JGB008,4.864,0.012,-5.24
JGB009,6.465,0.018,0.98
JGB010,6.533,0.015,6.06
JGB011,6.906,0.017,8.09
JGB012,7.441,0.013,-7.11
JGB013,8.622,0.014,-2.3
JGB014,8.676,0.018,2.81
JGB015,10.922,0.017,6.32
JGB016,11.385,0.016,1.68
JGB017,13.183,0.016,-2.98
JGB018,14.279,0.015,1.19
JGB019,14.767,0.015,-0.07
JGB020,15.229,0.014,-0.81
JGB021,15.586,0.019,-2.94
JGB022,15.615,0.017,1.55
JGB023,16.698,0.015,1.23
JGB024,16.835,0.019,-0.37
JGB025,17.952,0.016,-0.89
JGB026,18.244,0.015,-5.14
JGB027,18.846,0.018,-1.94
JGB028,20.054,0.02,4.83
JGB029,20.276,0.015,-0.76
JGB030,20.364,0.019,-5.76
JGB031,23.747,0.016,5.34
JGB032,24.165,0.015,2.12
JGB033,24.594,0.015,8.43
JGB034,26.086,0.016,0.25
JGB035,26.93,0.019,-1.85
JGB036,27.092,0.018,-5.79
JGB037,27.882,0.02,5.3
JGB038,28.476,0.016,10.28
JGB039,29.437,0.017,-3.28
