date,bond_id,maturity_years,yield
2026-01-02,JGB000,1.346,0.007395
2026-01-02,JGB001,2.577,0.009942
2026-01-02,JGB002,2.952,0.011577
2026-01-02,JGB003,4.293,0.012496
2026-01-02,JGB004,4.298,0.013261
2026-01-02,JGB005,4.328,0.013634
2026-01-02,JGB006,4.57,0.012688
2026-01-02,JGB007,4.857,0.013544
2026-01-02,JGB008,4.864,0.013081
2026-01-02,JGB009,6.465,0.014975
2026-01-02,JGB010,6.533,0.0154
2026-01-02,JGB011,6.906,0.015845
2026-01-02,JGB012,7.441,0.014698
2026-01-02,JGB013,8.622,0.01556
2026-01-02,JGB014,8.676,0.016147
2026-01-02,JGB015,10.922,0.017024
2026-01-02,JGB016,11.385,0.016674
2026-01-02,JGB017,13.183,0.016402
2026-01-02,JGB018,14.279,0.016924
2026-01-02,JGB019,14.767,0.016777
2026-01-02,JGB020,15.229,0.016704
2026-01-02,JGB021,15.586,0.016511
2026-01-02,JGB022,15.615,0.016974
2026-01-02,JGB023,16.698,0.016966
2026-01-02,JGB024,16.835,0.016841
2026-01-02,JGB025,17.952,0.016858
2026-01-02,JGB026,18.244,0.016461
2026-01-02,JGB027,18.846,0.016772
2026-01-02,JGB028,20.054,0.017406
2026-01-02,JGB029,20.276,0.016945
2026-01-02,JGB030,20.364,0.016463
2026-01-02,JGB031,23.747,0.017687
2026-01-02,JGB032,24.165,0.017347
2026-01-02,JGB033,24.594,0.017924
2026-01-02,JGB034,26.086,0.017124
2026-01-02,JGB035,26.93,0.017062
2026-01-02,JGB036,27.092,0.016608
2026-01-02,JGB037,27.882,0.01778
2026-01-02,JGB038,28.476,0.0183
2026-01-02,JGB039,29.437,0.016807
2026-01-05,JGB000,1.346,0.007707
2026-01-05,JGB001,2.577,0.01033
2026-01-05,JGB002,2.952,0.011936
2026-01-05,JGB003,4.293,0.012842
2026-01-05,JGB004,4.298,0.013578
2026-01-05,JGB005,4.328,0.013823
2026-01-05,JGB006,4.57,0.012997
2026-01-05,JGB007,4.857,0.013779
2026-01-05,JGB008,4.864,0.013427
2026-01-05,JGB009,6.465,0.015254
2026-01-05,JGB010,6.533,0.015857
2026-01-05,JGB011,6.906,0.016277
2026-01-05,JGB012,7.441,0.014992
2026-01-05,JGB013,8.622,0.015924
2026-01-05,JGB014,8.676,0.016441
2026-01-05,JGB015,10.922,0.017293
2026-01-05,JGB016,11.385,0.016918
2026-01-05,JGB017,13.183,0.016656
2026-01-05,JGB018,14.279,0.017212
2026-01-05,JGB019,14.767,0.017102
2026-01-05,JGB020,15.229,0.017087
2026-01-05,JGB021,15.586,0.0168
2026-01-05,JGB022,15.615,0.017361
2026-01-05,JGB023,16.698,0.017303
2026-01-05,JGB024,16.835,0.017151
2026-01-05,JGB025,17.952,0.017172
2026-01-05,JGB026,18.244,0.016739
2026-01-05,JGB027,18.846,0.017122
2026-01-05,JGB028,20.054,0.017792
2026-01-05,JGB029,20.276,0.017214
2026-01-05,JGB030,20.364,0.016728
2026-01-05,JGB031,23.747,0.018017
2026-01-05,JGB032,24.165,0.017639
2026-01-05,JGB033,24.594,0.018216
2026-01-05,JGB034,26.086,0.017479
2026-01-05,JGB035,26.93,0.017202
2026-01-05,JGB036,27.092,0.016978
2026-01-05,JGB037,27.882,0.017931
2026-01-05,JGB038,28.476,0.018536
2026-01-05,JGB039,29.437,0.017194
2026-01-06,JGB000,1.346,0.006543
2026-01-06,JGB001,2.577,0.009196
2026-01-06,JGB002,2.952,0.010776
2026-01-06,JGB003,4.293,0.011689
2026-01-06,JGB004,4.298,0.012461
2026-01-06,JGB005,4.328,0.01275
2026-01-06,JGB006,4.57,0.011866
2026-01-06,JGB007,4.857,0.012654
2026-01-06,JGB008,4.864,0.012296
2026-01-06,JGB009,6.465,0.014074
2026-01-06,JGB010,6.533,0.014709
2026-01-06,JGB011,6.906,0.015055
2026-01-06,JGB012,7.441,0.013766
2026-01-06,JGB013,8.622,0.014771
2026-01-06,JGB014,8.676,0.015365
2026-01-06,JGB015,10.922,0.016208
2026-01-06,JGB016,11.385,0.015745
2026-01-06,JGB017,13.183,0.015559
2026-01-06,JGB018,14.279,0.016013
2026-01-06,JGB019,14.767,0.015939
2026-01-06,JGB020,15.229,0.015906
2026-01-06,JGB021,15.586,0.015594
2026-01-06,JGB022,15.615,0.01617
2026-01-06,JGB023,16.698,0.016134
2026-01-06,JGB024,16.835,0.015996
2026-01-06,JGB025,17.952,0.015952
2026-01-06,JGB026,18.244,0.015535
2026-01-06,JGB027,18.846,0.015905
2026-01-06,JGB028,20.054,0.016706
2026-01-06,JGB029,20.276,0.016195
2026-01-06,JGB030,20.364,0.015613
2026-01-06,JGB031,23.747,0.01685
2026-01-06,JGB032,24.165,0.016468
2026-01-06,JGB033,24.594,0.017023
2026-01-06,JGB034,26.086,0.01633
2026-01-06,JGB035,26.93,0.016146
2026-01-06,JGB036,27.092,0.015711
2026-01-06,JGB037,27.882,0.016866
2026-01-06,JGB038,28.476,0.017385
2026-01-06,JGB039,29.437,0.015967
2026-01-07,JGB000,1.346,0.005362
2026-01-07,JGB001,2.577,0.007981
2026-01-07,JGB002,2.952,0.009581
2026-01-07,JGB003,4.293,0.010571
2026-01-07,JGB004,4.298,0.011346
