date,tenor,par_yield
2026-01-02,0.5,0.02818
2026-01-02,1.0,0.03082
2026-01-02,2.0,0.03481
2026-01-02,3.0,0.03757
2026-01-02,5.0,0.0408
2026-01-02,7.0,0.04241
2026-01-02,10.0,0.0435
2026-01-02,20.0,0.04438
2026-01-02,30.0,0.0446
2026-01-05,0.5,0.02817
2026-01-05,1.0,0.03081
2026-01-05,2.0,0.0348
2026-01-05,3.0,0.03755
2026-01-05,5.0,0.04079
2026-01-05,7.0,0.04239
2026-01-05,10.0,0.04347
2026-01-05,20.0,0.04433
2026-01-05,30.0,0.04453
2026-01-06,0.5,0.02815
2026-01-06,1.0,0.03079
2026-01-06,2.0,0.03478
2026-01-06,3.0,0.03753
2026-01-06,5.0,0.04076
2026-01-06,7.0,0.04235
2026-01-06,10.0,0.04343
2026-01-06,20.0,0.04426
2026-01-06,30.0,0.04443
2026-01-07,0.5,0.02813
2026-01-07,1.0,0.03076
2026-01-07,2.0,0.03476
2026-01-07,3.0,0.03751
2026-01-07,5.0,0.04075
2026-01-07,7.0,0.04235
2026-01-07,10.0,0.04343
2026-01-07,20.0,0.0443
2026-01-07,30.0,0.04451
2026-01-08,0.5,0.02809
2026-01-08,1.0,0.03073
2026-01-08,2.0,0.03472
2026-01-08,3.0,0.03747
2026-01-08,5.0,0.04071
2026-01-08,7.0,0.0423
2026-01-08,10.0,0.04339
2026-01-08,20.0,0.04424
2026-01-08,30.0,0.04443
2026-01-09,0.5,0.02814
2026-01-09,1.0,0.03077
2026-01-09,2.0,0.03477
2026-01-09,3.0,0.03752
2026-01-09,5.0,0.04075
2026-01-09,7.0,0.04235
2026-01-09,10.0,0.04344
2026-01-09,20.0,0.0443
2026-01-09,30.0,0.0445
2026-01-12,0.5,0.02817
2026-01-12,1.0,0.03081
2026-01-12,2.0,0.0348
2026-01-12,3.0,0.03754
2026-01-12,5.0,0.04078
2026-01-12,7.0,0.04237
2026-01-12,10.0,0.04345
2026-01-12,20.0,0.04429
2026-01-12,30.0,0.04447
2026-01-13,0.5,0.02815
2026-01-13,1.0,0.03079
2026-01-13,2.0,0.03478
2026-01-13,3.0,0.03753
2026-01-13,5.0,0.04076
2026-01-13,7.0,0.04236
2026-01-13,10.0,0.04345
2026-01-13,20.0,0.0443
2026-01-13,30.0,0.0445
2026-01-14,0.5,0.02803
2026-01-14,1.0,0.03066
2026-01-14,2.0,0.03466
2026-01-14,3.0,0.0374
2026-01-14,5.0,0.04064
2026-01-14,7.0,0.04223
2026-01-14,10.0,0.04331
2026-01-14,20.0,0.04416
2026-01-14,30.0,0.04434
2026-01-15,0.5,0.02787
2026-01-15,1.0,0.03051
2026-01-15,2.0,0.03449
2026-01-15,3.0,0.03724
2026-01-15,5.0,0.04047
2026-01-15,7.0,0.04206
2026-01-15,10.0,0.04313
2026-01-15,20.0,0.04394
2026-01-15,30.0,0.04409
2026-01-16,0.5,0.0277
2026-01-16,1.0,0.03033
2026-01-16,2.0,0.03432
2026-01-16,3.0,0.03707
2026-01-16,5.0,0.04029
2026-01-16,7.0,0.04188
2026-01-16,10.0,0.04295
2026-01-16,20.0,0.04376
2026-01-16,30.0,0.04391
2026-01-19,0.5,0.02758
2026-01-19,1.0,0.03021
2026-01-19,2.0,0.0342
2026-01-19,3.0,0.03695
2026-01-19,5.0,0.04017
2026-01-19,7.0,0.04176
2026-01-19,10.0,0.04283
2026-01-19,20.0,0.04365
2026-01-19,30.0,0.04381
2026-01-20,0.5,0.02761
2026-01-20,1.0,0.03024
2026-01-20,2.0,0.03423
2026-01-20,3.0,0.03698
2026-01-20,5.0,0.0402
2026-01-20,7.0,0.04179
2026-01-20,10.0,0.04286
2026-01-20,20.0,0.04368
2026-01-20,30.0,0.04383
2026-01-21,0.5,0.02738
2026-01-21,1.0,0.03001
2026-01-21,2.0,0.034
2026-01-21,3.0,0.03675
2026-01-21,5.0,0.03997
2026-01-21,7.0,0.04156
2026-01-21,10.0,0.04262
2026-01-21,20.0,0.04342
2026-01-21,30.0,0.04357
2026-01-22,0.5,0.02739
2026-01-22,1.0,0.03002
2026-01-22,2.0,0.03401
2026-01-22,3.0,0.03676
2026-01-22,5.0,0.03998
2026-01-22,7.0,0.04157
2026-01-22,10.0,0.04264
2026-01-22,20.0,0.04344
2026-01-22,30.0,0.04359
2026-01-23,0.5,0.02726
2026-01-23,1.0,0.0299
2026-01-23,2.0,0.03388
2026-01-23,3.0,0.03663
2026-01-23,5.0,0.03985
2026-01-23,7.0,0.04144
2026-01-23,10.0,0.0425
2026-01-23,20.0,0.0433
2026-01-23,30.0,0.04343
2026-01-26,0.5,0.0272
2026-01-26,1.0,0.02984
2026-01-26,2.0,0.03382
2026-01-26,3.0,0.03656
2026-01-26,5.0,0.03978
2026-01-26,7.0,0.04136
2026-01-26,10.0,0.04242
2026-01-26,20.0,0.0432
2026-01-26,30.0,0.04332
2026-01-27,0.5,0.02735
2026-01-27,1.0,0.02998
2026-01-27,2.0,0.03396
2026-01-27,3.0,0.0367
2026-01-27,5.0,0.03992
2026-01-27,7.0,0.0415
2026-01-27,10.0,0.04255
2026-01-27,20.0,0.04331
2026-01-27,30.0,0.04341
2026-01-28,0.5,0.02734
2026-01-28,1.0,0.02997
2026-01-28,2.0,0.03396
2026-01-28,3.0,0.0367
2026-01-28,5.0,0.03992
2026-01-28,7.0,0.04151
2026-01-28,10.0,0.04257
2026-01-28,20.0,0.04335
2026-01-28,30.0,0.04347
2026-01-29,0.5,0.0273
2026-01-29,1.0,0.02993
2026-01-29,2.0,0.03392
2026-01-29,3.0,0.03666
2026-01-29,5.0,0.03988
2026-01-29,7.0,0.04147
2026-01-29,10.0,0.04253
2026-01-29,20.0,0.04331
2026-01-29,30.0,0.04343
2026-01-30,0.5,0.02733
2026-01-30,1.0,0.02996
2026-01-30,2.0,0.03395
2026-01-30,3.0,0.03669
2026-01-30,5.0,0.03991
2026-01-30,7.0,0.0415
2026-01-30,10.0,0.04256
2026-01-30,20.0,0.04334
2026-01-30,30.0,0.04347
2026-02-02,0.5,0.02722
2026-02-02,1.0,0.02986
2026-02-02,2.0,0.03384
2026-02-02,3.0,0.03658
2026-02-02,5.0,0.03981
2026-02-02,7.0,0.04139
2026-02-02,10.0,0.04245
2026-02-02,20.0,0.04324
2026-02-02,30.0,0.04337
2026-02-03,0.5,0.02741
2026-02-03,1.0,0.03005
2026-02-03,2.0,0.03403
2026-02-03,3.0,0.03677
2026-02-03,5.0,0.03998
2026-02-03,7.0,0.04156
2026-02-03,10.0,0.04261
2026-02-03,20.0,0.04336
2026-02-03,30.0,0.04345
2026-02-04,0.5,0.02751
2026-02-04,1.0,0.03014
2026-02-04,2.0,0.03413
2026-02-04,3.0,0.03687
2026-02-04,5.0,0.04008
2026-02-04,7.0,0.04166
2026-02-04,10.0,0.04271
2026-02-04,20.0,0.04347
2026-02-04,30.0,0.04357
2026-02-05,0.5,0.02741
2026-02-05,1.0,0.03005
2026-02-05,2.0,0.03404
2026-02-05,3.0,0.03678
2026-02-05,5.0,0.04001
2026-02-05,7.0,0.0416
2026-02-05,10.0,0.04267
2026-02-05,20.0,0.04347
2026-02-05,30.0,0.04362
2026-02-06,0.5,0.02754
2026-02-06,1.0,0.03017
2026-02-06,2.0,0.03415
2026-02-06,3.0,0.0369
2026-02-06,5.0,0.04011
2026-02-06,7.0,0.0417
2026-02-06,10.0,0.04276
2026-02-06,20.0,0.04354
2026-02-06,30.0,0.04366
2026-02-09,0.5,0.02754
2026-02-09,1.0,0.03018
2026-02-09,2.0,0.03416
2026-02-09,3.0,0.03691
2026-02-09,5.0,0.04013
2026-02-09,7.0,0.04172
2026-02-09,10.0,0.04278
2026-02-09,20.0,0.04358
2026-02-09,30.0,0.04371
2026-02-10,0.5,0.02752
2026-02-10,1.0,0.03015
2026-02-10,2.0,0.03414
2026-02-10,3.0,0.03689
2026-02-10,5.0,0.04011
2026-02-10,7.0,0.04171
2026-02-10,10.0,0.04278
2026-02-10,20.0,0.04359
2026-02-10,30.0,0.04375
2026-02-11,0.5,0.02751
2026-02-11,1.0,0.03015
2026-02-11,2.0,0.03414
2026-02-11,3.0,0.03688
2026-02-11,5.0,0.04011
2026-02-11,7.0,0.04171
2026-02-11,10.0,0.04278
2026-02-11,20.0,0.04362
2026-02-11,30.0,0.04379
2026-02-12,0.5,0.02768
2026-02-12,1.0,0.03032
2026-02-12,2.0,0.03431
2026-02-12,3.0,0.03705
2026-02-12,5.0,0.04028
2026-02-12,7.0,0.04187
2026-02-12,10.0,0.04294
2026-02-12,20.0,0.04376
2026-02-12,30.0,0.04392
2026-02-13,0.5,0.02773
2026-02-13,1.0,0.03036
2026-02-13,2.0,0.03435
2026-02-13,3.0,0.03709
2026-02-13,5.0,0.04032
2026-02-13,7.0,0.04191
2026-02-13,10.0,0.04297
2026-02-13,20.0,0.04378
2026-02-13,30.0,0.04393
2026-02-16,0.5,0.02778
2026-02-16,1.0,0.03041
2026-02-16,2.0,0.03439
2026-02-16,3.0,0.03714
2026-02-16,5.0,0.04035
2026-02-16,7.0,0.04194
2026-02-16,10.0,0.043
2026-02-16,20.0,0.04377
2026-02-16,30.0,0.04389
2026-02-17,0.5,0.02773
2026-02-17,1.0,0.03036
2026-02-17,2.0,0.03435
2026-02-17,3.0,0.03709
2026-02-17,5.0,0.04031
2026-02-17,7.0,0.04189
2026-02-17,10.0,0.04295
2026-02-17,20.0,0.04372
2026-02-17,30.0,0.04384
2026-02-18,0.5,0.0278
2026-02-18,1.0,0.03044
2026-02-18,2.0,0.03442
2026-02-18,3.0,0.03717
2026-02-18,5.0,0.04039
2026-02-18,7.0,0.04198
2026-02-18,10.0,0.04305
2026-02-18,20.0,0.04385
2026-02-18,30.0,0.044
2026-02-19,0.5,0.0277
2026-02-19,1.0,0.03033
2026-02-19,2.0,0.03431
2026-02-19,3.0,0.03706
2026-02-19,5.0,0.04028
2026-02-19,7.0,0.04186
2026-02-19,10.0,0.04293
2026-02-19,20.0,0.04371
2026-02-19,30.0,0.04384
2026-02-20,0.5,0.02782
2026-02-20,1.0,0.03045
2026-02-20,2.0,0.03443
2026-02-20,3.0,0.03717
2026-02-20,5.0,0.04038
2026-02-20,7.0,0.04196
2026-02-20,10.0,0.043
2026-02-20,20.0,0.04374
2026-02-20,30.0,0.04382
2026-02-23,0.5,0.02778
2026-02-23,1.0,0.03041
2026-02-23,2.0,0.03439
2026-02-23,3.0,0.03713
2026-02-23,5.0,0.04034
2026-02-23,7.0,0.04192
2026-02-23,10.0,0.04297
2026-02-23,20.0,0.0437
2026-02-23,30.0,0.04378
2026-02-24,0.5,0.0279
2026-02-24,1.0,0.03053
2026-02-24,2.0,0.03451
2026-02-24,3.0,0.03725
2026-02-24,5.0,0.04047
2026-02-24,7.0,0.04205
2026-02-24,10.0,0.0431
2026-02-24,20.0,0.04386
2026-02-24,30.0,0.04396
2026-02-25,0.5,0.02788
2026-02-25,1.0,0.03051
2026-02-25,2.0,0.03449
2026-02-25,3.0,0.03723
2026-02-25,5.0,0.04045
2026-02-25,7.0,0.04203
2026-02-25,10.0,0.04308
2026-02-25,20.0,0.04383
2026-02-25,30.0,0.04392
2026-02-26,0.5,0.02783
2026-02-26,1.0,0.03046
2026-02-26,2.0,0.03444
2026-02-26,3.0,0.03719
2026-02-26,5.0,0.04041
2026-02-26,7.0,0.042
2026-02-26,10.0,0.04306
2026-02-26,20.0,0.04385
2026-02-26,30.0,0.04399
2026-02-27,0.5,0.0278
2026-02-27,1.0,0.03043
2026-02-27,2.0,0.03442
2026-02-27,3.0,0.03716
2026-02-27,5.0,0.04038
2026-02-27,7.0,0.04197
2026-02-27,10.0,0.04303
2026-02-27,20.0,0.04381
2026-02-27,30.0,0.04394
2026-03-02,0.5,0.02784
2026-03-02,1.0,0.03048
2026-03-02,2.0,0.03446
2026-03-02,3.0,0.0372
2026-03-02,5.0,0.04043
2026-03-02,7.0,0.04201
2026-03-02,10.0,0.04307
2026-03-02,20.0,0.04386
2026-03-02,30.0,0.04398
2026-03-03,0.5,0.02786
2026-03-03,1.0,0.03049
2026-03-03,2.0,0.03447
2026-03-03,3.0,0.03721
2026-03-03,5.0,0.04043
2026-03-03,7.0,0.04201
2026-03-03,10.0,0.04306
2026-03-03,20.0,0.04382
2026-03-03,30.0,0.04392
2026-03-04,0.5,0.02787
2026-03-04,1.0,0.0305
2026-03-04,2.0,0.03449
2026-03-04,3.0,0.03723
2026-03-04,5.0,0.04044
2026-03-04,7.0,0.04202
2026-03-04,10.0,0.04307
2026-03-04,20.0,0.04382
2026-03-04,30.0,0.04391
2026-03-05,0.5,0.02798
2026-03-05,1.0,0.03061
2026-03-05,2.0,0.0346
2026-03-05,3.0,0.03734
2026-03-05,5.0,0.04055
2026-03-05,7.0,0.04214
2026-03-05,10.0,0.04319
2026-03-05,20.0,0.04396
2026-03-05,30.0,0.04407
2026-03-06,0.5,0.02797
2026-03-06,1.0,0.0306
2026-03-06,2.0,0.03458
2026-03-06,3.0,0.03733
2026-03-06,5.0,0.04055
2026-03-06,7.0,0.04213
2026-03-06,10.0,0.0432
